Timestamp,Source IP,Destination IP,Protocol,Length
1696894756.945464,192.167.8.166,192.167.255.255,17,92
1696894757.730146,192.167.8.166,192.167.255.255,17,92
1696894758.114524,,,,60
1696894759.113413,,,,60
1696894760.115559,,,,60
1696894765.791949,,,,60
1696894766.793737,,,,60
1696894767.795677,,,,60
1696894773.475569,,,,60
1696894774.477504,,,,60
1696894775.479514,,,,60
1696894781.411641,,,,60
1696894782.413622,,,,60
1696894783.415564,,,,60
1696894785.702861,,,,60
1696894785.702869,,,,60
1696894786.063669,,,,60
1696894786.065594,,,,60
1696894786.065595,,,,60
1696894786.065781,,,,60
1696894786.097197,,,,60
1696894786.097202,,,,60
1696894786.097847,,,,60
1696894786.268935,,,,60
1696894786.702600,,,,60
1696894786.978936,192.167.6.248,192.167.255.255,17,243
1696894787.269066,,,,60
1696894787.528745,,,,86
1696894787.702894,,,,60
1696894788.703022,,,,60
1696894789.347136,,,,60
1696894790.349126,,,,60
1696894790.703221,,,,60
1696894791.351374,,,,60
1696894793.021744,,,,60
1696894793.632035,192.167.8.160,192.167.255.255,17,92
1696894793.703470,,,,60
1696894794.022243,,,,60
1696894794.381068,192.167.8.160,192.167.255.255,17,92
1696894794.768197,192.167.8.170,192.167.255.255,17,92
1696894794.768228,192.167.8.170,192.167.255.255,17,92
1696894795.029784,,,,60
1696894795.190064,192.167.8.160,192.167.255.255,17,92
1696894795.576788,192.167.8.170,192.167.255.255,17,92
1696894795.576853,192.167.8.170,192.167.255.255,17,92
1696894795.844709,0.0.0.0,255.255.255.255,17,364
1696894796.029727,,,,60
1696894796.336965,192.167.8.170,192.167.255.255,17,92
1696894796.352586,192.167.8.170,192.167.255.255,17,92
1696894796.418696,,,,60
1696894796.719888,192.167.7.175,192.167.255.255,17,110
1696894796.720498,192.167.7.175,192.167.255.255,17,110
1696894796.871504,192.167.8.65,192.167.255.255,17,92
1696894797.029850,,,,60
1696894797.278900,,,,60
1696894797.483043,192.167.7.175,192.167.255.255,17,110
1696894797.661747,192.167.8.65,192.167.255.255,17,92
1696894798.029774,,,,60
1696894798.233151,192.167.7.175,192.167.255.255,17,110
1696894798.317396,192.167.7.175,192.167.255.255,17,110
1696894798.432538,192.167.8.65,192.167.255.255,17,92
1696894798.703780,,,,60
1696894798.998628,192.167.7.175,192.167.255.255,17,110
1696894799.029608,,,,60
1696894799.477141,192.167.7.157,255.255.255.255,1,60
1696894799.477231,192.167.7.157,255.255.255.255,1,60
1696894799.483712,192.167.7.157,255.255.255.255,1,60
1696894799.483715,192.167.7.157,255.255.255.255,1,60
1696894799.483981,192.167.7.157,255.255.255.255,1,60
1696894799.483984,192.167.7.157,255.255.255.255,1,60
1696894799.483986,192.167.7.157,255.255.255.255,1,60
1696894799.483988,192.167.7.157,255.255.255.255,1,60
1696894799.484261,192.167.7.157,255.255.255.255,1,60
1696894799.484263,192.167.7.157,255.255.255.255,1,60
1696894799.484266,192.167.7.157,255.255.255.255,1,60
1696894799.484268,192.167.7.157,255.255.255.255,1,60
1696894799.484270,192.167.7.157,255.255.255.255,1,60
1696894799.484272,192.167.7.157,255.255.255.255,1,60
1696894799.484544,192.167.7.157,255.255.255.255,1,60
1696894799.484547,192.167.7.157,255.255.255.255,1,60
1696894799.484549,192.167.7.157,255.255.255.255,1,60
1696894799.484551,192.167.7.157,255.255.255.255,1,60
1696894799.484553,192.167.7.157,255.255.255.255,1,60
1696894799.484555,192.167.7.157,255.255.255.255,1,60
1696894799.484755,192.167.7.157,255.255.255.255,1,60
1696894799.484757,192.167.7.157,255.255.255.255,1,60
1696894799.484761,192.167.7.157,255.255.255.255,1,60
1696894799.484763,192.167.7.157,255.255.255.255,1,60
1696894799.484765,192.167.7.157,255.255.255.255,1,60
1696894799.484959,192.167.7.157,255.255.255.255,1,60
1696894799.484962,192.167.7.157,255.255.255.255,1,60
1696894799.484964,192.167.7.157,255.255.255.255,1,60
1696894799.484966,192.167.7.157,255.255.255.255,1,60
1696894799.484968,192.167.7.157,255.255.255.255,1,60
1696894799.485074,192.167.7.157,255.255.255.255,1,60
1696894799.493632,192.167.7.157,255.255.255.255,1,60
1696894799.493635,192.167.7.157,255.255.255.255,1,60
1696894799.493884,192.167.7.157,255.255.255.255,1,60
1696894799.493887,192.167.7.157,255.255.255.255,1,60
1696894799.493889,192.167.7.157,255.255.255.255,1,60
1696894799.493891,192.167.7.157,255.255.255.255,1,60
1696894799.493893,192.167.7.157,255.255.255.255,1,60
1696894799.499142,192.167.7.157,255.255.255.255,1,60
1696894799.499275,192.167.7.157,255.255.255.255,1,60
1696894799.499278,192.167.7.157,255.255.255.255,1,60
1696894799.500370,192.167.7.157,255.255.255.255,1,60
1696894799.500572,192.167.7.157,255.255.255.255,1,60
1696894799.500575,192.167.7.157,255.255.255.255,1,60
1696894799.500577,192.167.7.157,255.255.255.255,1,60
1696894799.500579,192.167.7.157,255.255.255.255,1,60
1696894799.500738,192.167.7.157,255.255.255.255,1,60
1696894799.500741,192.167.7.157,255.255.255.255,1,60
1696894799.500743,192.167.7.157,255.255.255.255,1,60
1696894799.500976,192.167.7.157,255.255.255.255,1,60
1696894799.500979,192.167.7.157,255.255.255.255,1,60
1696894799.500981,192.167.7.157,255.255.255.255,1,60
1696894799.500983,192.167.7.157,255.255.255.255,1,60
1696894799.500986,192.167.7.157,255.255.255.255,1,60
1696894799.501374,192.167.7.157,255.255.255.255,1,60
1696894799.501376,192.167.7.157,255.255.255.255,1,60
1696894799.501379,192.167.7.157,255.255.255.255,1,60
